t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
2.1860,5.529600,7344.513825,14631.571791,143.0232
2.1880,21.702528,39308.794783,26055.540100,136.5350
2.1900,17.949229,41209.670181,39660.417097,142.0692
2.1920,20.613793,19276.614237,38548.666420,112.2292
2.1940,46.345213,42649.038070,45094.581306,111.1204
2.1960,31.048690,42385.480572,39957.735031,107.3599
2.1980,5.659712,17945.067019,35881.804394,134.3487
2.2000,18.609616,38681.670409,20884.459334,151.3617
2.2020,15.816315,40250.390700,34393.908423,130.6847
2.2040,5.491856,7521.632500,14927.118327,96.9582
2.2060,22.073507,39753.915331,26708.470019,174.4345
2.2080,18.673170,41870.291025,40752.384566,91.9840
2.2100,5.638224,10308.897174,20565.287568,126.1828
2.2120,29.144749,41670.958815,33852.856038,151.6479
2.2140,27.959954,47535.755940,57070.633680,125.4339
2.2160,44.895928,26078.614825,52199.306140,151.8307
2.2180,34.064307,54121.704589,77451.088924,82.8271
2.2200,18.641428,44275.008813,49786.838120,173.2299
2.2220,22.398959,41608.899109,41072.925511,96.2354
2.2240,18.703476,41644.062501,41115.469722,159.0913
2.2260,22.455836,41642.554212,41188.218702,97.8060
2.2280,18.758558,41674.569065,41221.134932,152.3920
2.2300,22.507940,41671.607101,41291.761846,99.0645
2.2320,18.806420,41700.453596,41314.795270,151.9003
2.2340,6.033775,10559.169458,21011.088646,81.9128
2.2360,18.806698,38980.163415,21087.777144,161.1504
2.2380,15.816222,40494.257016,34543.044707,79.4106
2.2400,5.462915,7461.796505,14864.867724,139.2520
2.2420,22.681322,39552.971272,27401.775585,111.6196
2.2440,18.895960,41741.400579,41592.333030,136.9471
2.2460,5.914430,10626.394272,21142.878926,49.2892
2.2480,46.749704,44386.559524,44376.999152,168.7648
2.2500,18.077652,49221.208315,63928.118525,49.5665
2.2520,24.737375,15394.067454,30772.133378,100.3298
2.2540,18.612420,40949.301567,33554.306754,174.8427
2.2560,15.605360,40570.941256,34190.536756,93.2707
2.2580,3.659132,6360.942299,12683.129870,129.9982
2.2600,21.490719,39014.488943,25058.562200,151.4474
