t,lat_acc,jerk,lat_jerk,risk_rate
4.1980,2.508715,20193.592919,7291.423988,13127.071895
4.2000,2.249973,18903.814290,14304.884082,25751.041321
4.2020,2.328411,18901.154055,14309.918794,25760.182241
4.2040,2.114041,18902.804574,14318.930114,25776.188247
4.2060,1.914741,10491.423704,8025.304702,14447.463204
4.2080,2.137553,20608.407098,7044.946816,12683.041822
4.2100,1.808878,18680.691054,13537.971313,24370.157241
4.2120,2.009525,18679.528410,13541.808562,24377.264937
4.2140,1.723160,18678.577318,13541.643077,24376.680699
4.2160,1.898763,18679.111933,13548.204945,24388.667664
4.2180,1.761141,19069.329868,5066.264678,9121.037561
4.2200,1.735725,4485.002569,4430.416352,7976.485158
4.2220,1.459019,9219.166204,6780.195929,12205.811692
4.2240,1.644218,18670.261377,13557.904511,24405.872338
4.2260,1.521724,19074.119119,5091.865975,9166.880479
4.2280,1.853620,19066.105588,5105.835513,9192.357543
4.2300,1.411086,18670.749978,13568.962682,24425.543913
4.2320,1.406898,9203.505583,6768.723423,12185.109060
4.2340,1.380103,20539.366246,8013.822831,14426.261198
4.2360,1.348078,19724.581368,15245.951070,27444.060003
4.2380,1.269132,19721.422454,15250.100974,27451.450884
4.2400,1.311617,19723.356218,15259.165157,27467.808900
4.2420,0.937381,12349.749353,10464.142876,18836.394559
4.2440,1.457169,23771.537089,12783.463085,23011.690722
4.2460,0.933428,25525.804923,21030.426135,37855.700470
4.2480,1.381922,25527.478861,21038.170519,37870.088857
4.2500,1.021359,23790.568070,12804.133582,23048.461807
4.2520,1.292384,7817.689601,7752.923383,13956.554474
4.2540,0.943947,24968.553844,8041.269774,14475.229540
4.2560,1.213781,24969.895914,8035.307232,14464.766798
4.2580,0.859700,7837.578752,7773.906297,13993.891035
4.2600,2.105894,26569.028932,19816.495152,35671.797169
4.2620,1.840267,23459.048181,20743.916066,37340.889187
4.2640,1.958219,18916.062552,14517.334218,26133.159811
4.2660,1.744714,18916.459723,14524.044037,26145.023981
4.2680,1.574838,10543.364522,7964.033338,14336.834846
4.2700,1.791133,20535.457157,6931.966638,12479.331081
4.2720,1.508476,18508.959683,13450.180993,24211.834264
4.2740,1.696076,18515.370343,13467.042739,24242.373006
4.2760,1.462858,18513.998498,13468.595319,24244.934433
4.2780,2.159795,16119.745866,14422.742243,25963.095832
4.2800,2.535931,20559.348087,5704.530389,10270.690631
4.2820,2.048083,20442.681186,16247.800786,29248.089496
4.2840,2.404317,20444.851260,16254.870079,29261.170459
