mode,name,kp_scale,kd_scale,task_kp,time_scale,use_task_pid,use_wrist_pid,sim_time,risk_integral,tilt_integral,reach_integral,score
full_body,35,1.0,1.0,0.4,2.0,True,True,2.8020,78647.572234,9.939464,0.364862,26612598.117393
full_body,36,1.0,1.0,0.6,0.5,True,True,11.2000,317870.067585,38.147430,1.058348,106911088.479029
full_body,37,1.0,1.0,0.6,1.0,True,True,5.6020,159361.245113,19.627133,0.587443,53755260.010659
full_body,38,1.0,1.0,0.6,1.5,True,True,3.7340,102863.857263,13.462186,0.430332,34940847.756726
full_body,39,1.0,1.0,0.6,2.0,True,True,2.8020,79891.751658,10.404184,0.350951,27123876.841948
full_body,40,1.0,1.2,0.4,0.5,True,True,11.2000,312155.007052,36.592437,1.128163,104737054.075134
full_body,41,1.0,1.2,0.4,1.0,True,True,5.6020,159592.726834,18.935351,0.640369,53622462.349030
full_body,42,1.0,1.2,0.4,1.5,True,True,3.7340,103842.032687,13.090279,0.474581,35127153.120447
full_body,43,1.0,1.2,0.4,2.0,True,True,2.8020,76924.218134,10.151892,0.389026,26161736.845568
full_body,44,1.0,1.2,0.6,0.5,True,True,11.2000,321859.340490,38.474594,1.073767,108207561.618787
full_body,45,1.0,1.2,0.6,1.0,True,True,5.6020,158561.261230,19.943484,0.613953,53612821.111926
full_body,46,1.0,1.2,0.6,1.5,True,True,3.7340,108716.670922,13.689913,0.455550,36767531.679798
full_body,47,1.0,1.2,0.6,2.0,True,True,2.8020,77296.495960,10.658819,0.374079,26424003.561889
full_body,48,1.2,0.8,0.4,0.5,True,True,11.2000,303020.361193,35.000412,1.048767,101511113.201997
full_body,49,1.2,0.8,0.4,1.0,True,True,5.6020,161442.546177,17.873794,0.561170,53851021.338651
full_body,50,1.2,0.8,0.4,1.5,True,True,3.7340,106343.693489,12.195120,0.399508,35601596.222193
full_body,51,1.2,0.8,0.4,2.0,True,True,2.8020,77984.508962,9.366399,0.318564,26237129.938778
full_body,52,1.2,0.8,0.6,0.5,True,True,11.2000,316719.639994,36.863042,1.002958,106175104.687655
full_body,53,1.2,0.8,0.6,1.0,True,True,5.6020,154110.624070,18.826764,0.537679,51934986.401936
full_body,54,1.2,0.8,0.6,1.5,True,True,3.7340,104774.773725,12.821359,0.383050,35317146.428713
full_body,55,1.2,0.8,0.6,2.0,True,True,2.8020,77677.024111,9.836486,0.305367,26284590.816079
full_body,56,1.2,1.0,0.4,0.5,True,True,11.2000,315621.629200,35.230365,1.063514,105361954.004071
full_body,57,1.2,1.0,0.4,1.0,True,True,5.6020,160936.155531,18.069993,0.580803,53759926.991718
full_body,58,1.2,1.0,0.4,1.5,True,True,3.7340,106025.907391,12.380257,0.420885,35563939.396971
full_body,59,1.2,1.0,0.4,2.0,True,True,2.8020,75421.235238,9.588109,0.340479,25536852.310934
full_body,60,1.2,1.0,0.6,0.5,True,True,11.2000,321635.467124,37.096503,1.017268,107721322.486734
full_body,61,1.2,1.0,0.6,1.0,True,True,5.6020,160229.143919,19.030387,0.557750,53833636.570424
full_body,62,1.2,1.0,0.6,1.5,True,True,3.7340,106633.937650,13.011379,0.403562,35933952.656225
full_body,63,1.2,1.0,0.6,2.0,True,True,2.8020,77403.421068,10.019137,0.325673,26259335.709128
full_body,64,1.2,1.2,0.4,0.5,True,True,11.2000,319813.946992,35.530462,1.079766,106711303.681370
full_body,65,1.2,1.2,0.4,1.0,True,True,5.6020,158673.771166,18.343531,0.601445,53165337.404027
full_body,66,1.2,1.2,0.4,1.5,True,True,3.7340,105718.529562,12.602947,0.442250,35540669.304285
full_body,67,1.2,1.2,0.4,2.0,True,True,2.8020,77356.343113,9.759205,0.361924,26170857.970108
full_body,68,1.2,1.2,0.6,0.5,True,True,11.2000,319330.827320,37.355440,1.032626,107109147.259652
full_body,69,1.2,1.2,0.6,1.0,True,True,5.6020,163541.885902,19.250705,0.577644,54895543.864554
full_body,70,1.2,1.2,0.6,1.5,True,True,3.7340,106388.882298,13.235457,0.425465,35929849.716698
full_body,71,1.2,1.2,0.6,2.0,True,True,2.8020,81286.002015,10.222631,0.345928,27487183.852900
