t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
0.4880,90.606622,82493.612115,165077.830853,174.8387
0.4900,83.644664,101780.532713,203644.710090,66.1794
0.4920,84.345980,113301.025320,226686.396620,174.8401
0.4940,83.655779,113277.018758,226637.693294,93.8509
0.4960,84.336095,113307.718609,226699.773314,160.7660
0.4980,83.660368,113282.716685,226649.093737,97.2214
0.5000,84.320111,113308.597430,226701.514972,148.8206
0.5020,83.658344,113282.527071,226648.712486,101.5112
0.5040,84.297959,113303.621363,226691.540685,144.6010
0.5060,78.023208,88277.714897,176633.453002,64.2930
0.5080,78.127465,87356.069820,174790.267105,167.0959
0.5100,76.856853,106057.901465,212192.659784,62.0007
0.5120,83.824965,86148.880290,172381.585544,129.7430
0.5140,83.782627,94106.004394,188295.791415,124.7758
0.5160,84.210105,113297.600698,226679.411500,130.3610
0.5180,78.121687,88282.607057,176643.335800,21.3939
0.5200,83.760170,80556.569261,161196.898692,130.3754
0.5220,83.945990,94129.205637,188342.357264,124.0302
0.5240,84.188315,113318.202744,226720.593803,124.5922
0.5260,86.823041,106598.533871,213283.890783,90.1109
0.5280,84.123782,106464.650901,213013.425585,161.8405
0.5300,83.955935,113241.368226,226566.692387,92.3143
0.5320,48.771345,100788.369743,201625.510831,152.0870
0.5340,48.363101,89888.916301,179826.195704,95.4267
0.5360,48.761614,89920.387722,179889.537058,150.1741
0.5380,42.861333,57271.883736,114586.628805,76.5434
0.5400,15.022406,49526.553610,99068.129626,137.4543
0.5420,14.631840,75403.582483,150821.796807,140.6922
0.5440,10.178900,36291.619300,72593.417500,102.9295
0.5460,43.124190,31772.822129,63588.768448,168.1967
0.5480,6.830081,56196.524841,112399.879764,102.7651
0.5500,16.534913,33807.521716,67631.578346,131.4054
0.5520,16.039630,45331.312177,90678.663985,152.3864
0.5540,14.576193,77075.750846,154166.077885,127.0916
0.5560,10.555707,36334.893693,72680.343092,92.3529
0.5580,10.394720,41043.107770,82096.610261,174.9697
0.5600,6.955843,73442.935625,146892.827092,92.0946
0.5620,39.971658,29469.564835,58979.101329,174.9678
0.5640,16.128311,60200.311694,120416.751700,118.2224
0.5660,14.411561,77047.255465,154108.922492,169.2392
0.5680,16.140838,77003.675797,154023.492432,127.8184
0.5700,14.394000,77046.398362,154107.190724,156.5130
0.5720,16.152642,77005.058031,154026.268704,130.1146
0.5740,14.380387,77044.603479,154103.587346,148.8213
0.5760,10.529580,36293.717229,72597.964038,118.7926
0.5780,10.280123,41039.754463,82089.789050,162.6093
0.5800,6.975731,73448.369336,146903.714402,108.5616
0.5820,16.231447,33829.368960,67674.969366,137.6702
0.5840,16.355763,45284.391049,90585.137861,147.2839
0.5860,14.281801,77009.555992,154033.393785,130.1056
0.5880,10.451727,36249.273365,72508.998457,97.3283
0.5900,28.769731,41727.562104,83483.893939,174.6389
0.5920,28.792941,78662.916710,157354.626361,91.6568
0.5940,23.784018,41279.790208,82583.364435,126.0956
0.5960,16.138210,43318.218625,86652.575459,152.0396
0.5980,14.619782,77043.877547,154102.374876,124.7104
0.6000,36.513977,30644.751780,61326.017538,152.0987
0.6020,10.728936,56075.816278,112162.361493,143.7624
0.6040,6.620031,73389.222269,146785.064570,145.3256
0.6060,10.765924,73341.902339,146694.570602,155.9746
0.6080,6.613310,73374.848873,146756.311057,128.2559
0.6100,10.799307,73330.093075,146670.985456,158.5651
0.6120,6.611022,73360.470731,146727.552484,115.7330
0.6140,16.215930,33676.074479,67368.364888,144.1516
0.6160,45.950029,36213.128951,72472.207932,137.6965
0.6180,14.418009,60298.705326,120611.828660,139.3342
0.6200,16.034540,77090.910328,154197.855196,142.5262
0.6220,14.404317,77139.998192,154294.400700,134.1335
0.6240,10.423844,36338.770309,72687.964463,98.1445
0.6260,10.448769,40931.342902,81873.134574,174.9115
0.6280,6.840399,73337.495252,146681.830904,96.0195
0.6300,16.330279,33665.931004,67348.192288,126.0065
0.6320,16.213716,45413.885031,90843.983779,151.9103
0.6340,14.300493,77156.989093,154328.278679,126.3552
0.6360,10.383909,36355.006567,72720.397043,89.4707
0.6380,22.624231,30018.701327,60060.026885,148.1925
0.6400,6.893370,62605.507253,125217.907875,139.0311
0.6420,10.346475,73274.413563,146559.173601,153.9919
0.6440,6.883472,73321.862433,146650.608337,126.7024
0.6460,10.341342,73282.870188,146576.081718,155.8275
0.6480,6.877580,73327.274119,146661.425817,123.6294
0.6500,16.181931,33665.010726,67346.203383,146.7176
0.6520,16.324401,45372.282961,90760.890324,135.3225
0.6540,14.106971,77098.932694,154211.972358,139.8005
0.6560,10.315153,36280.494883,72571.304920,105.7330
0.6580,28.917337,41687.362486,83403.642309,170.2241
0.6600,28.919215,78648.664964,157326.249143,100.5612
0.6620,24.005199,41313.777005,82651.559210,128.5841
0.6640,16.084269,43475.776470,86967.637209,151.8523
0.6660,14.432821,77139.555391,154293.543602,126.7042
0.6680,9.919163,36329.242550,72668.404264,89.2219
0.6700,10.878289,40865.041955,81740.962198,174.5505
0.6720,6.585967,73265.288339,146537.162646,92.4160
0.6740,14.344263,10409.181222,20832.706706,174.8753
0.6760,15.905720,77129.402138,154274.709995,108.7384
0.6780,14.312486,77190.684318,154395.681122,174.8715
0.6800,15.897262,77154.220275,154324.337813,126.1014
0.6820,14.284940,77211.848370,154437.981680,160.4780
0.6840,15.888424,77177.487165,154370.862754,128.2881
0.6860,14.261585,77231.556243,154477.374070,151.8608
0.6880,15.879092,77199.227037,154414.333166,131.0408
0.6900,14.242364,77249.825456,154513.893275,147.8780
0.6920,10.323803,36420.221817,72850.767437,112.0607
0.6940,19.368097,40967.638538,81954.645172,138.7265
0.6960,23.139752,77173.022916,154369.185585,67.5736
0.6980,77.860981,61120.779688,122319.420358,133.2897
0.7000,78.554957,87367.986933,174814.528823,122.0753
0.7020,76.774113,106026.337747,212129.449607,134.4144
0.7040,84.135095,86154.514927,172393.164948,30.3340
0.7060,83.680402,94260.879619,188605.439641,174.8449
0.7080,84.522992,113465.980982,227016.484955,41.9222
0.7100,24.313633,63421.533830,126867.381293,124.2956
0.7120,36.939719,18401.009881,36838.959482,125.0199
0.7140,10.410021,56020.185448,112050.780916,136.3940
0.7160,6.721340,73315.403524,146637.528388,124.8801
0.7180,10.429683,73267.163683,146544.757050,154.0588
0.7200,6.705452,73307.205780,146621.117012,104.1702
0.7220,10.446224,73261.620750,146533.687724,155.9539
0.7240,6.693535,73298.892055,146604.477646,88.4592
0.7260,10.459316,73255.876665,146522.212645,158.4317
0.7280,6.685642,73290.456273,146587.598188,80.7827
0.7300,15.957860,33557.306293,67130.570445,140.4148
0.7320,16.232454,45355.265078,90726.762610,110.4518
0.7340,16.030475,74969.162928,149954.356331,107.5358
0.7360,48.632383,45402.717758,90854.067898,131.0453
0.7380,48.578708,64536.417107,129121.412921,151.7294
0.7400,48.692844,89954.670937,179958.034719,130.5763
0.7420,43.003057,57288.427145,114619.857347,91.7551
0.7440,43.322526,58483.054885,117009.432295,174.6295
0.7460,41.601955,84173.667555,168388.937065,94.9754
0.7480,56.255512,48822.387603,97701.030717,126.9072
0.7500,83.756838,93043.856168,186171.469174,152.2552
0.7520,84.465580,113501.376684,227087.218948,125.6382
0.7540,86.925190,86732.730062,173552.385314,152.3758
0.7560,78.485864,95818.240933,191714.967730,144.3644
0.7580,77.091895,106103.233851,212283.559597,145.4534
0.7600,78.485413,106065.222601,212208.930614,155.9929
0.7620,77.096863,106094.135648,212265.368158,129.7950
0.7640,78.477514,106055.564159,212189.605831,158.4375
0.7660,77.095474,106080.123569,212237.342612,117.8957
0.7680,84.041323,86231.272095,172546.585513,145.5842
0.7700,83.792199,94319.604933,188723.002064,140.4009
0.7720,84.223928,113478.623932,227041.471793,135.6613
0.7740,83.786100,113454.981052,226993.748203,145.4437
0.7760,84.204330,113479.838234,227043.880798,136.8704
0.7780,78.155728,88378.598512,176835.352751,96.3222
0.7800,83.942216,80644.621796,161373.185808,130.8490
0.7820,83.905670,94332.415799,188748.737269,152.3013
0.7840,84.136903,113493.477930,227071.092762,125.0015
0.7860,78.262386,88405.664868,176889.592122,93.1717
0.7880,79.615683,82426.730825,164933.077332,138.0899
0.7900,77.309159,98619.357325,197316.023809,150.1068
0.7920,78.305404,106026.506452,212131.318307,152.9186
0.7940,77.318457,106061.770729,212200.859916,133.4370
0.7960,78.315665,106038.531036,212155.377737,154.1383
0.7980,77.321266,106069.314731,212215.950728,125.1604
0.8000,78.317822,106044.936259,212168.190340,155.8718
0.8020,77.317534,106071.279323,212219.876180,127.9459
0.8040,48.769195,70176.036564,140400.842323,145.4042
0.8060,48.489248,64625.144694,129298.778636,135.0459
0.8080,48.628295,89999.060098,180046.748490,143.5141
0.8100,42.893045,57268.184910,114579.262864,106.8220
0.8120,43.447504,58396.522688,116836.492880,168.8937
0.8140,41.651061,84096.530720,168234.712502,107.1933
0.8160,23.928952,33474.823648,66973.576249,128.6870
0.8180,15.634838,43751.374335,87518.383509,152.4013
0.8200,14.492669,77290.986723,154596.466115,131.0054
0.8220,28.063563,22463.598560,44955.260683,93.5457
0.8240,11.061260,62350.894399,124712.850059,175.0982
0.8260,5.870803,72996.294268,145998.459339,93.3017
0.8280,16.591809,33205.358640,66427.309088,125.9327
0.8300,22.970115,34524.062312,69071.094739,120.0202
0.8320,14.340734,66470.065280,132954.471294,168.6933
0.8340,15.438214,77299.939689,154615.317592,126.3161
0.8360,14.293417,77352.052402,154718.398220,156.3402
0.8380,15.444975,77319.217926,154653.880827,127.8094
0.8400,14.250784,77368.024956,154750.300696,151.9932
0.8420,9.637695,36444.749233,72899.136160,127.3502
0.8440,10.852114,40489.048213,80988.948540,158.8634
0.8460,5.995692,72902.083373,145810.162439,117.9662
0.8480,16.322525,33117.079745,66250.482015,143.5401
